"codconta";"codloja";"dtbaixa";"compt";"valor";"detalhe"
"00003";"00";2024-04-23;2024-04-23;89.98;VENDAS                                                                                                                  
"00010";"02";2024-04-23;2024-04-23;13.44;VENDAS                                                                                                                  
"00009";"02";2024-04-23;2024-04-23;87.79;VENDAS                                                                                                                  
"00010";"02";2024-04-23;2024-04-23;80.84;VENDAS                                                                                                                  
"00003";"02";2024-04-23;2024-04-23;5.50;VENDAS                                                                                                                  
"00003";"00";2024-04-23;2024-04-23;43.99;VENDAS                                                                                                                  
"00003";"00";2024-04-23;2024-04-23;13.98;VENDAS                                                                                                                  
"00009";"00";2024-04-23;2024-04-23;2927.40;VENDAS                                                                                                                  
"00009";"00";2024-04-23;2024-04-23;1417.20;VENDAS                                                                                                                  
"00003";"00";2024-04-23;2024-04-23;44.99;VENDAS                                                                                                                  
"00003";"02";2024-04-23;2024-04-23;2.19;VENDAS                                                                                                                  
"00003";"02";2024-04-23;2024-04-23;4.00;VENDAS                                                                                                                  
"00003";"02";2024-04-23;2024-04-23;39.99;VENDAS                                                                                                                  
"00010";"02";2024-04-23;2024-04-23;502.40;VENDAS                                                                                                                  
"00003";"00";2024-04-23;2024-04-23;18.99;VENDAS                                                                                                                  
"00003";"00";2024-04-23;2024-04-23;7.98;VENDAS                                                                                                                  
"00011";"00";2024-04-23;2024-04-23;13.75;VENDAS                                                                                                                  
"00011";"00";2024-04-23;2024-04-23;8.00;VENDAS                                                                                                                  
"00003";"00";2024-04-23;2024-04-23;7.79;VENDAS                                                                                                                  
"00003";"00";2024-04-23;2024-04-23;47.02;VENDAS                                                                                                                  
"00003";"02";2024-04-23;2024-04-23;2.50;VENDAS                                                                                                                  
"00003";"02";2024-04-23;2024-04-23;41.70;VENDAS                                                                                                                  
"00003";"02";2024-04-23;2024-04-23;0.68;VENDAS                                                                                                                  
"00003";"02";2024-04-23;2024-04-23;0.30;VENDAS                                                                                                                  
"00003";"02";2024-04-23;2024-04-23;4.00;VENDAS                                                                                                                  
"00003";"02";2024-04-23;2024-04-23;10.00;VENDAS                                                                                                                  
"00003";"02";2024-04-23;2024-04-23;15.00;VENDAS                                                                                                                  
"00003";"02";2024-04-23;2024-04-23;226.92;VENDAS                                                                                                                  
"00003";"00";2024-04-23;2024-04-23;8.21;VENDAS                                                                                                                  
"00003";"00";2024-04-23;2024-04-23;12.85;VENDAS                                                                                                                  
"00010";"00";2024-04-23;2024-04-23;150.46;VENDAS                                                                                                                  
"00003";"00";2024-04-23;2024-04-23;330.00;VENDAS                                                                                                                  
"00003";"02";2024-04-23;2024-04-23;904.58;VENDAS                                                                                                                  
"00010";"02";2024-04-23;2024-04-23;18.47;VENDAS                                                                                                                  
"00003";"00";2024-04-23;2024-04-23;17.76;VENDAS                                                                                                                  
"00003";"00";2024-04-23;2024-04-23;93.56;VENDAS                                                                                                                  
"00003";"00";2024-04-23;2024-04-23;114.95;VENDAS                                                                                                                  
"00003";"00";2024-04-23;2024-04-23;178.99;VENDAS                                                                                                                  
"00010";"00";2024-04-23;2024-04-23;15.89;VENDAS                                                                                                                  
"00003";"00";2024-04-23;2024-04-23;2.57;VENDAS                                                                                                                  
"00003";"00";2024-04-23;2024-04-23;8.34;VENDAS                                                                                                                  
"00011";"00";2024-04-23;2024-04-23;134.49;VENDAS                                                                                                                  
"00003";"02";2024-04-23;2024-04-23;12.00;VENDAS                                                                                                                  
"00003";"02";2024-04-23;2024-04-23;29.88;VENDAS                                                                                                                  
"00003";"02";2024-04-23;2024-04-23;10.99;VENDAS                                                                                                                  
"00003";"02";2024-04-24;2024-04-24;239.50;VENDAS                                                                                                                  
"00003";"02";2024-04-24;2024-04-24;34.00;VENDAS                                                                                                                  
"00010";"02";2024-04-24;2024-04-24;200.00;VENDAS                                                                                                                  
"00003";"00";2024-04-24;2024-04-24;188.81;VENDAS                                                                                                                  
"00003";"02";2024-04-24;2024-04-24;14.00;VENDAS                                                                                                                  
"00010";"02";2024-04-24;2024-04-24;17.30;VENDAS                                                                                                                  
"00003";"02";2024-04-24;2024-04-24;82.00;VENDAS                                                                                                                  
"00003";"02";2024-04-24;2024-04-24;386.90;VENDAS                                                                                                                  
"00003";"02";2024-04-24;2024-04-24;59.96;VENDAS                                                                                                                  
"00003";"02";2024-04-24;2024-04-24;59.99;VENDAS                                                                                                                  
"00011";"00";2024-04-24;2024-04-24;1211.39;VENDAS                                                                                                                  
"00003";"00";2024-04-24;2024-04-24;93.97;VENDAS                                                                                                                  
"00010";"00";2024-04-24;2024-04-24;19.94;VENDAS                                                                                                                  
"00003";"00";2024-04-24;2024-04-24;5.00;VENDAS                                                                                                                  
"00003";"00";2024-04-24;2024-04-24;43.99;VENDAS                                                                                                                  
"00003";"00";2024-04-24;2024-04-24;14.00;VENDAS                                                                                                                  
"00011";"00";2024-04-04;2024-04-04;72.99;VENDAS                                                                                                                  
"00010";"00";2024-04-24;2024-04-24;320.55;VENDAS                                                                                                                  
"00011";"00";2024-04-24;2024-04-24;286.60;VENDAS                                                                                                                  
"00003";"00";2024-04-24;2024-04-24;11.83;VENDAS                                                                                                                  
"00003";"00";2024-04-24;2024-04-24;9.90;VENDAS                                                                                                                  
"00011";"00";2024-04-24;2024-04-24;58.99;VENDAS                                                                                                                  
"00003";"00";2024-04-24;2024-04-24;240.97;VENDAS                                                                                                                  
